norm_name,name_examples,n_segments,n_events,prefs,domains
名称不明,林道(名称不明),921,921,,
緑資源幹線高山大山,緑資源幹線林道　高山大山線,103,103,,
有峰,有峰林道,91,91,,
大規模宇目須木,大規模林道宇目須木線,75,75,,
大沢,大沢林道 / 林道大沢線,66,66,,
丸山,丸山林道 / 林道 丸山線 / 林道丸山線,63,63,,
緑資源幹線飯豊檜枝岐,緑資源幹線林道 飯豊・檜枝岐線,60,60,,
大平,大平林道 / 林道 大平線 / 林道大平線,54,54,,
道東,道東林道,53,53,,
中の沢,中の沢林道 / 林道中の沢線,52,52,,
パンケニコロベツ,パンケニコロベツ林道,51,51,,
南川,南川林道 / 林道 南川線,48,48,,
置賜東部,林道置賜東部線,46,46,,
剣山スーパー,剣山スーパー林道,45,45,,
大野池田,林道大野・池田線 / 林道大野池田線,45,45,,
有峰ArimineForestRoad,有峰林道 (Arimine Forest Road),44,44,,
東山,東山林道 / 林道 東山線 / 林道東山線,42,42,,
種川下ハカイ,林道 種川下ハカイ線,42,42,,
元浦川,元浦川林道,41,41,,
滝の沢,林道滝の沢線 / 滝の沢林道 / 滝の沢線林道,41,41,,
八戸川内大規模,八戸川内大規模林道,39,39,,
唐沢,唐沢林道 / 林道唐沢線,39,39,,
奥鬼怒,奥鬼怒林道 / 林道奥鬼怒線,39,39,,
広域本渡大江,広域林道本渡大江線,39,39,,
田沢スーパー,田沢スーパー林道,38,38,,
緑資源幹線広見篠川線笹郷小岩道区間,緑資源幹線林道　広見・篠川線　笹郷・小岩道区間,38,38,,
緑資源幹線滝雄厚和線滝上白滝区間,緑資源幹線林道 滝雄・厚和線 滝上・白滝区間,38,38,,
千歳,千歳林道,37,37,,
杖立,林道 杖立線,37,37,,
第二縦断,第二縦断林道,37,37,,
近角,林道近角線,37,37,,
中山,中山林道 / 林道中山線,36,36,,
南沢,南沢林道 / 林道南沢線,36,36,,
黒森山,林道 黒森山線 / 林道黒森山線 / 黒森山林道,35,35,,
春日,春日林道,34,34,,
鳥倉,林道鳥倉線 / 鳥倉林道,34,34,,
鹿野豊田,林道鹿野豊田線,34,34,,
えりも,林道 えりも線,33,33,,
オセウシ,オセウシ林道,33,33,,
深沢,林道深沢線 / 深沢林道,33,33,,
第一横断,第一横断林道,33,33,,
西山,林道西山線 / 西山林道,33,33,,
ニセチャロマップ,ニセチャロマップ林道,32,32,,
ペンケニコロベツ,ペンケニコロベツ林道,32,32,,
庶路本流併用,庶路本流併用林道,32,32,,
黒沢,林道黒沢線 / 黒沢林道,31,31,,
不動滝,不動滝林道 / 林道不動滝線,30,30,,
南部の沢,南部の沢林道,30,30,,
古川砂金越,古川砂金越林道,30,30,,
大滝,大滝林道 / 林道大滝線,30,30,,
本谷,本谷林道 / 林道本谷線,30,30,,
白銀,林道 白銀線 / 林道白銀線,30,30,,
大朝鹿野,林道大朝鹿野線,29,29,,
広域基幹多良岳横断,広域基幹林道 多良岳横断線,29,29,,
広域基幹金城弥栄,広域基幹林道金城弥栄線,29,29,,
本名室谷,林道本名室谷線,29,29,,
杉沢,杉沢林道 / 林道杉沢線,29,29,,
海川野久保,林道 海川野久保線,29,29,,
白石,林道白石線 / 白石林道,29,29,,
豊平川,豊平川林道,29,29,,
千石越,林道千石越線,28,28,,
奥名寄,奥名寄林道,28,28,,
沖村川,沖村川林道,28,28,,
瓶ヶ森,瓶ヶ森林道,28,28,,
田代,林道田代線 / 田代林道,28,28,,
社台横断,社台横断林道,28,28,,
金山,林道金山線 / 金山林道,28,28,,
長沢,林道長沢線 / 長沢林道,28,28,,
中峰黒川,林道中峰黒川線,27,27,,
佐幌二の沢,佐幌二の沢林道,27,27,,
入山,入山林道 / 林道入山線,27,27,,
双珠別,双珠別林道,27,27,,
古潭越,古潭越線林道 / 林道 古潭越線,27,27,,
荒川,林道荒川線 / 荒川林道,27,27,,
オネトップ,オネトップ林道,26,26,,
上ノ国目名下の沢,上ノ国目名下の沢線林道,26,26,,
林道,林道,26,26,,
滝沢,林道滝沢線 / 滝沢林道,26,26,,
第一縦断,第一縦断林道,26,26,,
西樽前,西樽前林道,26,26,,
トンガリチリチリ,トンガリチリチリ林道,25,25,,
上武利,上武利林道,25,25,,
大山,大山林道 / 林道大山線,25,25,,
平沢,平沢林道 / 林道平沢線,25,25,,
広域基幹阿蘇東部,広域基幹林道阿蘇東部線,25,25,,
御岳,林道 御岳線 / 林道御岳線,25,25,,
栄豊,林道栄豊線,25,25,,
白川,林道白川線 / 白川林道,25,25,,
緑資源幹線滝雄厚和線丸瀬布留辺蘂区間,緑資源幹線林道 滝雄・厚和線 丸瀬布・留辺蘂区間,25,25,,
鍋割相吉,林道鍋割相吉線,25,25,,
北岸,北岸林道,24,24,,
千遠,千遠線林道,24,24,,
庶路コイカタ,庶路コイカタ林道,24,24,,
御荷鉾スーパー,御荷鉾スーパー林道,24,24,,
日並,日並林道,24,24,,
東沢,東沢林道 / 林道 東沢線 / 林道東沢線,24,24,,
民有林様似パンケ,民有林林道 様似パンケ線 / 民有林林道様似パンケ線,24,24,,
水上,林道水上線 / 水上林道,24,24,,
糠平川迂回,糠平川迂回林道,24,24,,
菊池人吉大規模,菊池人吉大規模林道,24,24,,
西峰,林道西峰線,24,24,,
金山志賀坂,林道金山志賀坂線,24,24,,
風烈布,林道風烈布線,24,24,,
上野大滝,林道上野大滝線,23,23,,
勲祢別,勲祢別林道,23,23,,
大平川西の沢,大平川西の沢線林道,23,23,,
宿主別,宿主別林道,23,23,,
幌内高丘,林道幌内高丘線,23,23,,
漁入,漁入林道,23,23,,
糠南,糠南林道,23,23,,
赤滝,林道赤滝線 / 赤滝林道,23,23,,
赤谷,林道赤谷線 / 赤谷林道,23,23,,
ルベシナイ,ルベシナイ林道,22,22,,
ルベシベ,林道 ルベシベ線,22,22,,
一の沢,一の沢林道 / 林道一の沢線,22,22,,
前日光,前日光林道 / 林道前日光線,22,22,,
富士,富士林道 / 林道富士線,22,22,,
将軍川,林道将軍川線,22,22,,
川口,川口林道,22,22,,
広域基幹中之又吐合,広域基幹林道中之又・吐合線,22,22,,
